"","A0","A1","A2","A4","A5","A6","A7","A8","A9","A10","A11","A12","B0","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B12","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C12","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
"isogroup2041",3.22798815475455,4.42566921485427,4.05349270082266,4.08108445598215,3.84266540732379,4.24483478011692,3.67677084647199,3.94178949956361,4.47151807840315,3.70143292762273,3.7219574700879,4.22817599910409,2.71178378425505,4.43896857434058,4.19287283009441,4.28376347494111,4.14540618728562,3.64670209602634,3.81886068884775,4.13364113545121,3.99047903189052,3.83421163871048,4.28765478580452,4.39140911831969,3.70422546477439,4.42931015010982,4.5187045262181,4.17475479834924,4.12166710304812,3.71269837345247,4.12156321315571,4.66279153395029,4.48577207668942,3.99581142944314,4.0169836963034,3.71090591111349,3.43873803367545,4.77872350113886,4.37211869483733,4.47138183852099,3.79110783965644,4.05387745815656,4.12758468328762,4.45000371741589,3.94853521832301,4.06628153613945,4.08381658294556,4.52170681452346
"isogroup27249",0.926195459534551,2.03138678513898,2.08596592209035,2.46386007925785,1.82316503141389,2.74384212643555,2.99960555586302,2.2591281850131,2.77300398049684,3.28510990373243,2.58922113190755,2.34352658404042,1.06583074373601,2.10283977590903,2.32183537692993,1.61537598036573,2.22715184222791,2.6954375578498,2.38210954201083,3.17243626566038,2.17577458943775,2.88173118145441,3.29751779951848,2.55872508483197,1.47884983168915,2.41790508972119,2.29975751311861,2.77859251385181,2.01694990053149,2.56424770067092,1.04428297943096,2.28741122852387,1.85296353439119,2.56053954215204,1.6177579365145,2.79115107886867,1.10420224111173,1.23893198398657,2.05366959538665,2.18833813114115,1.76251618552936,2.52299282927819,2.23552809046727,2.61217752550388,2.30981338648344,1.70913828386717,2.31243665475602,1.83973921414176
"isogroup26716",1.07767344334582,2.01679828847715,2.79800653685349,2.01494469363186,1.93698952627167,2.68932911356364,1.77527042543508,3.16693882151275,3.20582287677344,1.55663504417145,2.69223263330296,2.70482469749193,1.22231816713866,2.55208579056156,2.71003011017248,2.62891133455186,2.06707187439416,2.56941322273943,3.13525573287245,2.53540805993581,3.35831500070861,2.74771964089534,3.26974499733148,2.95974268994673,1.22578915716404,2.17964027170513,2.29055062561023,2.60861861341547,2.34611848010756,3.08695583842661,2.68167050278264,1.80231890686968,2.49092509289127,2.97800333801656,3.08334093186474,3.48188815208287,1.26221059995403,1.56303966598147,2.55128489781468,2.71805797964872,2.63404159404141,2.83129905488017,1.89430047242198,2.38146293025449,2.73166559089939,3.22627124204156,2.21502585215986,3.0516480273543
"isogroup21525",2.32770115297394,3.96151717302978,3.53226135877395,3.51528975057695,3.86042281182432,3.65183679521205,3.48138432441648,3.0952735854217,2.59650759663798,3.67271914181245,3.65250085933789,3.43463971248861,2.55449495009985,4.3713917171124,3.62416838813409,3.26604250807242,3.38222081834441,3.97043922709307,3.82718030274956,3.38097495206868,3.03717534236808,4.12877766504311,2.92490842988253,3.67907680065829,1.72299246020258,4.01119557477498,3.39333387727694,3.56095901391256,2.70795531295737,3.15692457225858,3.26288883308591,3.70646552151038,2.68910882401686,2.84825576420439,3.2699788525021,3.24944889029765,1.76232664996406,4.41216934594798,3.14801160321264,3.06416726177358,3.45942669168856,2.94679551688082,3.26850171709547,2.74325835852024,3.47497848800093,3.40819112867921,2.95764940457271,3.116198698901
"isogroup17063",1.79212103900594,2.91929912742725,2.88311682612874,2.71975729850535,3.58409246965678,2.972268939053,3.57735971704283,3.55931674825984,3.59630883325996,3.6932390753972,2.95354349540184,3.21755397004924,1.62969570831816,3.27117920917833,3.61975796289903,2.62964650834344,3.38774910966153,3.05260236156609,3.06075620118087,3.42332471535252,2.88849385923791,3.58765138016299,3.62014522554034,3.11985539067673,1.98247018235025,3.02975333000241,3.15651073851755,2.65915793489811,3.41173532495908,3.32592622859989,3.41163476851109,3.85113334283985,3.59342783074775,3.47542940535403,3.68812906496009,3.1862682582719,1.67226496791813,3.32211501341592,3.38287858014426,2.62331160625081,2.66181771518554,3.46417449599378,2.646808927089,3.78578103070492,3.3597425610245,3.18717740425081,3.76812577193207,3.52035613791991
"isogroup23098",7.54943390982065,8.6059205060195,8.71445840423648,8.28559424776338,8.35986434839576,8.28773681801305,7.94986078529381,7.87219627170508,8.28250877061451,7.87343997419833,7.813140292885,8.00663081892961,7.37981254428926,8.61400624346077,8.73199663709561,8.63426319331836,8.36888079666731,8.35108963134362,8.1183409743746,8.29132610957466,8.05922455008468,7.99795845521635,7.92095347381744,7.82197056262058,7.55530364608703,8.7489812718891,8.76536410252499,8.47467878957842,8.19755265713443,8.329218189411,8.32026934340775,8.30536622031156,7.95870793320258,7.97919205795784,8.26968625978181,7.9172662523121,7.54102781082269,8.43745586967336,8.79271157691623,8.70849414729898,8.45630355338966,8.37632442569315,8.25310974600083,8.26072127710401,7.92621613613564,8.01500787591652,8.06184496929685,8.10075322088261
"isogroup7782",4.55906682253756,3.97344040652734,5.06618076666064,5.06435517914791,4.66392746571793,4.5510898415418,4.68592667387908,5.08792450977506,4.56330290722445,4.43330310146637,4.96429383348251,4.99911763157462,4.05497666847708,4.01277386156205,4.85399102279184,4.63790598703506,4.73417543536717,4.57109892841693,4.65506049990065,4.82560985052926,5.01616850491259,4.95375896947285,4.68691503515043,4.68610151523347,4.21668401247024,4.27375029854922,5.05134680470865,4.60593966840719,4.30287166060208,5.12013721841336,5.07116137006035,5.04273409364456,5.17947064307082,5.03086335227552,5.10793471860266,5.13023567558519,4.35893729344121,4.37295566750157,4.95501373646773,5.08612781019897,4.92477038676028,4.94190505817032,5.26073402908728,5.18136971861431,4.90643879823312,4.97557300268804,4.91634478881389,5.28628200159821
"isogroup2983",2.36922794584759,4.25537768714447,3.29877568906481,4.47920626766805,5.1337556539406,5.08560938633202,4.80448635325529,4.45825431019049,4.10974474308096,4.71840507208079,4.27803956267118,4.05081633085742,2.79038211246037,4.79205299809237,3.29283257206913,4.42801524630298,5.11077999706476,4.85810318893197,4.64660145115226,4.37075864301077,4.74398417860303,4.1023848816068,4.48834973960651,4.37061098128952,2.27475001686737,4.45666106656652,2.66014365341771,4.47019086005509,4.60445258342747,5.07081444701407,4.84436091812745,4.72046492087136,4.77981537448136,4.21443350583487,4.4668796946467,3.28989251603247,2.31602937054012,4.91261986992419,3.49621186845265,4.26669926219815,4.6814080445774,4.95914324942017,4.73686002038389,4.15884610353215,4.77375743026234,4.02477834981356,5.02274134437048,3.61476353599684
"isogroup3323",4.63598394262821,4.64194607313012,5.0122842806772,5.07967428116921,4.56497886785145,5.03437664453365,5.23878443852046,5.43270762338589,5.51071419778458,4.95455920166207,5.73060364130066,5.59900856848381,4.26699345007075,4.56608368434512,5.10660580093326,5.13616595201306,5.11088876440741,4.92415960599647,5.44609253533885,5.47669059106982,5.3536840635439,5.403270194558,5.57881382934923,5.42165927539254,4.27349720617656,4.99575652555358,5.10003227279865,4.65858775835895,5.17836324565343,5.04817965543116,5.11160233841929,5.7349044513509,5.2591885717026,5.42108433813152,5.44309929686846,5.41600838136882,4.08831655486416,4.46299804531413,5.19345683603619,5.06806465740696,5.53320096462487,4.97012158660882,5.36423233808534,5.28658259209527,5.2094335242451,5.64004186021011,5.5711309438988,5.35937924610397
"isogroup9295",3.1203583089168,3.20500072505622,2.9252921968151,3.37359220431523,2.67802886360005,3.42628529026605,1.90365744708792,3.79282136662321,3.85886261239624,2.95802787356594,3.91459837388519,3.80836226352738,3.67428898483646,4.00321803785789,3.22062705782944,3.87604423088354,3.24268431496613,3.27624082111119,2.80006461714853,2.2856124730193,3.45695031779937,2.43870891750397,2.01662751826299,4.38839229772448,2.90070764792512,3.33722503241137,2.71107532087704,3.16309280984325,3.54438461466602,3.49443921024041,2.85526840716815,2.77545136676781,2.9359935858444,3.28671460949724,3.39143062445424,3.65931430558433,2.96523835428451,3.31175140105857,2.62950640170338,3.45748482703196,3.79894971662649,4.31384033411688,3.00602776482801,2.89226777665206,3.02685127923292,3.97735224699286,2.94116418179311,4.37097302492331
