Sample,Day0,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,HPF,RedFluoro,GreenFluoro
A0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A1,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0
A2,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0
A4,0,0,0,0,1,0,0,0,0,0,0,0,0,56,54.13165,19.4236
A5,0,0,0,0,0,1,0,0,0,0,0,0,0,80,75.6628,17.8254
A6,0,0,0,0,0,0,1,0,0,0,0,0,0,104,92.429,56.9575
A7,0,0,0,0,0,0,0,1,0,0,0,0,0,128,98.276412,63.443118
A8,0,0,0,0,0,0,0,0,1,0,0,0,0,150,98.828077,64.8785
A9,0,0,0,0,0,0,0,0,0,1,0,0,0,176,101.976286,75.247286
A10,0,0,0,0,0,0,0,0,0,0,1,0,0,198,96.972333,74.569667
A11,0,0,0,0,0,0,0,0,0,0,0,1,0,221,91.075765,78.188059
A12,0,0,0,0,0,0,0,0,0,0,0,0,1,245,87.3876,70.57728
B0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
B1,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0
B2,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0
B3,0,0,0,1,0,0,0,0,0,0,0,0,0,73,17.391647,8.630706
B4,0,0,0,0,1,0,0,0,0,0,0,0,0,56,64.159087,24.154652
B5,0,0,0,0,0,1,0,0,0,0,0,0,0,80,68.80984,31.20212
B6,0,0,0,0,0,0,1,0,0,0,0,0,0,104,103.3015,59.854188
B7,0,0,0,0,0,0,0,1,0,0,0,0,0,128,99.277639,66.334917
B8,0,0,0,0,0,0,0,0,1,0,0,0,0,150,84.904677,70.365452
B9,0,0,0,0,0,0,0,0,0,1,0,0,0,176,89.949586,79.129448
B10,0,0,0,0,0,0,0,0,0,0,1,0,0,198,80.406793,77.139586
B12,0,0,0,0,0,0,0,0,0,0,0,0,1,245,87.711696,84.137174
C0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
C1,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0
C2,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0
C3,0,0,0,1,0,0,0,0,0,0,0,0,0,73,24.5573,11.2431
C4,0,0,0,0,1,0,0,0,0,0,0,0,0,56,57.528143,21.989214
C5,0,0,0,0,0,1,0,0,0,0,0,0,0,80,78.054826,33.657391
C6,0,0,0,0,0,0,1,0,0,0,0,0,0,104,80.743471,56.489529
C7,0,0,0,0,0,0,0,1,0,0,0,0,0,128,88.2385,60.894567
C8,0,0,0,0,0,0,0,0,1,0,0,0,0,150,94.1484,71.081833
C9,0,0,0,0,0,0,0,0,0,1,0,0,0,176,99.079364,81.814
C10,0,0,0,0,0,0,0,0,0,0,1,0,0,198,86.784,61.213429
C12,0,0,0,0,0,0,0,0,0,0,0,0,1,245,96.653522,81.94287
D0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
D1,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0
D2,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,0
D3,0,0,0,1,0,0,0,0,0,0,0,0,0,73,29.07405,14.4598
D4,0,0,0,0,1,0,0,0,0,0,0,0,0,56,60.663684,15.494158
D5,0,0,0,0,0,1,0,0,0,0,0,0,0,80,69.411429,34.772071
D6,0,0,0,0,0,0,1,0,0,0,0,0,0,104,89.774417,62.088833
D7,0,0,0,0,0,0,0,1,0,0,0,0,0,128,84.055316,67.060184
D8,0,0,0,0,0,0,0,0,1,0,0,0,0,150,87.413,82.210071
D9,0,0,0,0,0,0,0,0,0,1,0,0,0,176,95.321,73.993571
D10,0,0,0,0,0,0,0,0,0,0,1,0,0,198,94.335,75.134323
D11,0,0,0,0,0,0,0,0,0,0,0,1,0,221,93.901,75.25355
