"Gene","Var1"
"GFAP","Astrocyte_Cahoy_all"
"AQP4","Astrocyte_Cahoy_all"
"PLA2G7","Astrocyte_Cahoy_all"
"SLC39A12","Astrocyte_Cahoy_all"
"MLC1","Astrocyte_Cahoy_all"
"AU067665","Astrocyte_Cahoy_all"
"DIO2","Astrocyte_Cahoy_all"
"SLC14A1","Astrocyte_Cahoy_all"
"ALDH1L1","Astrocyte_Cahoy_all"
"CYP4F14","Astrocyte_Cahoy_all"
"ALDOC","Astrocyte_Cahoy_all"
"TTPA","Astrocyte_Cahoy_all"
"ACSBG1","Astrocyte_Cahoy_all"
"CHRDL1","Astrocyte_Cahoy_all"
"GM266","Astrocyte_Cahoy_all"
"SLC4A4","Astrocyte_Cahoy_all"
"SLC1A2","Astrocyte_Cahoy_all"
"SLC25A18","Astrocyte_Cahoy_all"
"SLC1A3","Astrocyte_Cahoy_all"
"F3","Astrocyte_Cahoy_all"
"PPP1R3G","Astrocyte_Cahoy_all"
"CYP4F15","Astrocyte_Cahoy_all"
"LOC388419","Astrocyte_Cahoy_all"
"FZD2","Astrocyte_Cahoy_all"
"2900019G14RIK","Astrocyte_Cahoy_all"
"MERTK","Astrocyte_Cahoy_all"
"VIL2","Astrocyte_Cahoy_all"
"TMEM166","Astrocyte_Cahoy_all"
"GJB6","Astrocyte_Cahoy_all"
"HAPLN1","Astrocyte_Cahoy_all"
"RFX4","Astrocyte_Cahoy_all"
"PAPSS2","Astrocyte_Cahoy_all"
"SLC15A2","Astrocyte_Cahoy_all"
"PPP1R3C","Astrocyte_Cahoy_all"
"TLR3","Astrocyte_Cahoy_all"
"ACOT11","Astrocyte_Cahoy_all"
"ATP1A2","Astrocyte_Cahoy_all"
"BMPR1B","Astrocyte_Cahoy_all"
"C030045D06RIK","Astrocyte_Cahoy_all"
"PRODH","Astrocyte_Cahoy_all"
"GLI3","Astrocyte_Cahoy_all"
"TMEM47","Astrocyte_Cahoy_all"
"SLC9A3R1","Astrocyte_Cahoy_all"
"CTH","Astrocyte_Cahoy_all"
"NTSR2","Astrocyte_Cahoy_all"
"SLC7A10","Astrocyte_Cahoy_all"
"VCAM1","Astrocyte_Cahoy_all"
"FGFR3","Astrocyte_Cahoy_all"
"CCDC80","Astrocyte_Cahoy_all"
"ENTPD2","Astrocyte_Cahoy_all"
"CYBRD1","Astrocyte_Cahoy_all"
"KCNE1L","Astrocyte_Cahoy_all"
"FAM20A","Astrocyte_Cahoy_all"
"KIAA1161","Astrocyte_Cahoy_all"
"EG328479","Astrocyte_Cahoy_all"
"TNC","Astrocyte_Cahoy_all"
"TLCD1","Astrocyte_Cahoy_all"
"EDG1","Astrocyte_Cahoy_all"
"CBS","Astrocyte_Cahoy_all"
"PBXIP1","Astrocyte_Cahoy_all"
"GRIN2C","Astrocyte_Cahoy_all"
"A730056I06RIK","Astrocyte_Cahoy_all"
"ADHFE1","Astrocyte_Cahoy_all"
"AGT","Astrocyte_Cahoy_all"
"GLDC","Astrocyte_Cahoy_all"
"SLC7A2","Astrocyte_Cahoy_all"
"BC055107","Astrocyte_Cahoy_all"
"GJA1","Astrocyte_Cahoy_all"
"PDK4","Astrocyte_Cahoy_all"
"EGFR","Astrocyte_Cahoy_all"
"SOX9","Astrocyte_Cahoy_all"
"CLDN10","Astrocyte_Cahoy_all"
"PLCD4","Astrocyte_Cahoy_all"
"ID4","Astrocyte_Cahoy_all"
"FMO1","Astrocyte_Cahoy_all"
"EMP2","Astrocyte_Cahoy_all"
"LONRF3","Astrocyte_Cahoy_all"
"HTRA1","Astrocyte_Cahoy_all"
"MGST1","Astrocyte_Cahoy_all"
"THRSP","Astrocyte_Cahoy_all"
"HSD11B1","Astrocyte_Cahoy_all"
"LGI4","Astrocyte_Cahoy_all"
"ITGB5","Astrocyte_Cahoy_all"
"AIFM3","Astrocyte_Cahoy_all"
"AXL","Astrocyte_Cahoy_all"
"ADORA2B","Astrocyte_Cahoy_all"
"CBR3","Astrocyte_Cahoy_all"
"HOP","Astrocyte_Cahoy_all"
"EPHX2","Astrocyte_Cahoy_all"
"SLC27A1","Astrocyte_Cahoy_all"
"2610034M16RIK","Astrocyte_Cahoy_all"
"SCARA3","Astrocyte_Cahoy_all"
"CYP2D6","Astrocyte_Cahoy_all"
"OAF","Astrocyte_Cahoy_all"
"1700027L20RIK","Astrocyte_Cahoy_all"
"2900052N01RIK","Astrocyte_Cahoy_all"
"NR2E1","Astrocyte_Cahoy_all"
"PDLIM4","Astrocyte_Cahoy_all"
"MAMDC2","Astrocyte_Cahoy_all"
"CD38","Astrocyte_Cahoy_all"
"LRIG1","Astrocyte_Cahoy_all"
"PRDM16","Astrocyte_Cahoy_all"
"NAPRT1","Astrocyte_Cahoy_all"
"TNFAIP8","Astrocyte_Cahoy_all"
"GDPD2","Astrocyte_Cahoy_all"
"PHKG1","Astrocyte_Cahoy_all"
"GSTM1","Astrocyte_Cahoy_all"
"RGS20","Astrocyte_Cahoy_all"
"ABCD2","Astrocyte_Cahoy_all"
"MYOC","Astrocyte_Cahoy_all"
"MGC33846","Astrocyte_Cahoy_all"
"LCAT","Astrocyte_Cahoy_all"
"HES5","Astrocyte_Cahoy_all"
"SDC4","Astrocyte_Cahoy_all"
"CYP4V2","Astrocyte_Cahoy_all"
"STK17B","Astrocyte_Cahoy_all"
"NOPE","Astrocyte_Cahoy_all"
"FGFBP3","Astrocyte_Cahoy_all"
"SGEF","Astrocyte_Cahoy_all"
"EMX2","Astrocyte_Cahoy_all"
"IL33","Astrocyte_Cahoy_all"
"RBPMS2","Astrocyte_Cahoy_all"
"SLC13A3","Astrocyte_Cahoy_all"
"TFCP2L1","Astrocyte_Cahoy_all"
"MGC61598","Astrocyte_Cahoy_all"
"PLA2G3","Astrocyte_Cahoy_all"
"SULT1A1","Astrocyte_Cahoy_all"
"ID3","Astrocyte_Cahoy_all"
"BAALC","Astrocyte_Cahoy_all"
"EGFL6","Astrocyte_Cahoy_all"
"ACSS1","Astrocyte_Cahoy_all"
"MYOM3","Astrocyte_Cahoy_all"
"APOE","Astrocyte_Cahoy_all"
"RSPO1","Astrocyte_Cahoy_all"
"SELENBP1","Astrocyte_Cahoy_all"
"DAPP1","Astrocyte_Cahoy_all"
"E130114P18RIK","Astrocyte_Cahoy_all"
"TNFRSF19","Astrocyte_Cahoy_all"
"TRIM9","Astrocyte_Cahoy_all"
"CYP7B1","Astrocyte_Cahoy_all"
"SERPINF1","Astrocyte_Cahoy_all"
"SLC13A5","Astrocyte_Cahoy_all"
"PAX6","Astrocyte_Cahoy_all"
"P4HA3","Astrocyte_Cahoy_all"
"SELENBP2","Astrocyte_Cahoy_all"
"ALDH1A1","Astrocyte_Cahoy_all"
"ACSL6","Astrocyte_Cahoy_all"
"SOAT1","Astrocyte_Cahoy_all"
"AGXT2L1","Astrocyte_Cahoy_all"
"FOLH1","Astrocyte_Cahoy_all"
"FLJ32569","Astrocyte_Cahoy_all"
"MFGE8","Astrocyte_Cahoy_all"
"SERHL2","Astrocyte_Cahoy_all"
"4933416E14RIK","Astrocyte_Cahoy_all"
"GRM3","Astrocyte_Cahoy_all"
"LXN","Astrocyte_Cahoy_all"
"MMP14","Astrocyte_Cahoy_all"
"KLF15","Astrocyte_Cahoy_all"
"DMP1","Astrocyte_Cahoy_all"
"CEBPD","Astrocyte_Cahoy_all"
"ELOVL2","Astrocyte_Cahoy_all"
"NDP","Astrocyte_Cahoy_all"
"ASPH","Astrocyte_Cahoy_all"
"FXYD1","Astrocyte_Cahoy_all"
"GLIS3","Astrocyte_Cahoy_all"
"SLC30A10","Astrocyte_Cahoy_all"
"AMOT","Astrocyte_Cahoy_all"
"AOX1","Astrocyte_Cahoy_all"
"C14orf145","Astrocyte_Cahoy_all"
"SLC1A4","Astrocyte_Cahoy_all"
"PPP1R3D","Astrocyte_Cahoy_all"
"DDAH1","Astrocyte_Cahoy_all"
"1700019G17RIK","Astrocyte_Cahoy_all"
"PDPN","Astrocyte_Cahoy_all"
"FJX1","Astrocyte_Cahoy_all"
"CROT","Astrocyte_Cahoy_all"
"FKBP10","Astrocyte_Cahoy_all"
"FBXO2","Astrocyte_Cahoy_all"
"CLU","Astrocyte_Cahoy_all"
"THBS4","Astrocyte_Cahoy_all"
"IGSF1","Astrocyte_Cahoy_all"
"SMO","Astrocyte_Cahoy_all"
"PRKD1","Astrocyte_Cahoy_all"
"TMEM51","Astrocyte_Cahoy_all"
"NTRK2","Astrocyte_Cahoy_all"
"LOC401034","Astrocyte_Cahoy_all"
"MT2A","Astrocyte_Cahoy_all"
"CYR61","Astrocyte_Cahoy_all"
"CXCL14","Astrocyte_Cahoy_all"
"KIAA0644","Astrocyte_Cahoy_all"
"PYGB","Astrocyte_Cahoy_all"
"SLC38A3","Astrocyte_Cahoy_all"
"GEM","Astrocyte_Cahoy_all"
"KCNJ16","Astrocyte_Cahoy_all"
"NOTCH2","Astrocyte_Cahoy_all"
"LIX1","Astrocyte_Cahoy_all"
"MAOB","Astrocyte_Cahoy_all"
"PLD2","Astrocyte_Cahoy_all"
"NDRG2","Astrocyte_Cahoy_all"
"RORB","Astrocyte_Cahoy_all"
"MCC","Astrocyte_Cahoy_all"
"GALNT4","Astrocyte_Cahoy_all"
"GABRG1","Astrocyte_Cahoy_all"
"LRP4","Astrocyte_Cahoy_all"
"FADS2","Astrocyte_Cahoy_all"
"HEPH","Astrocyte_Cahoy_all"
"SLC6A11","Astrocyte_Cahoy_all"
"ATP1B2","Astrocyte_Cahoy_all"
"SFXN5","Astrocyte_Cahoy_all"
"PLXNB1","Astrocyte_Cahoy_all"
"SMPDL3A","Astrocyte_Cahoy_all"
"VIT","Astrocyte_Cahoy_all"
"LHX2","Astrocyte_Cahoy_all"
"SARDH","Astrocyte_Cahoy_all"
"ZFP36L2","Astrocyte_Cahoy_all"
"GPC6","Astrocyte_Cahoy_all"
"TPH2","Astrocyte_Cahoy_all"
"FGFR1","Astrocyte_Cahoy_all"
"NCAN","Astrocyte_Cahoy_all"
"UPP1","Astrocyte_Cahoy_all"
"GPLD1","Astrocyte_Cahoy_all"
"KCNN2","Astrocyte_Cahoy_all"
"RNF182","Astrocyte_Cahoy_all"
"ITGA7","Astrocyte_Cahoy_all"
"CML1","Astrocyte_Cahoy_all"
"KCNK1","Astrocyte_Cahoy_all"
"EFEMP1","Astrocyte_Cahoy_all"
"MFAP3L","Astrocyte_Cahoy_all"
"FLJ30596","Astrocyte_Cahoy_all"
"DMRTA2","Astrocyte_Cahoy_all"
"CD44","Astrocyte_Cahoy_all"
"KCTD14","Astrocyte_Cahoy_all"
"NUPR1","Astrocyte_Cahoy_all"
"GLUL","Astrocyte_Cahoy_all"
"ACAA2","Astrocyte_Cahoy_all"
"SORCS2","Astrocyte_Cahoy_all"
"SLC2A10","Astrocyte_Cahoy_all"
"TST","Astrocyte_Cahoy_all"
"OPLAH","Astrocyte_Cahoy_all"
"FRMPD1","Astrocyte_Cahoy_all"
"PPIL6","Astrocyte_Cahoy_all"
"2310005E10RIK","Astrocyte_Cahoy_all"
"AK3L1","Astrocyte_Cahoy_all"
"GPC4","Astrocyte_Cahoy_all"
"EYA1","Astrocyte_Cahoy_all"
"DDR2","Astrocyte_Cahoy_all"
"ITGA6","Astrocyte_Cahoy_all"
"PTPRZ1","Astrocyte_Cahoy_all"
"GLUD1","Astrocyte_Cahoy_all"
"IGFBP2","Astrocyte_Cahoy_all"
"NPL","Astrocyte_Cahoy_all"
"4930423H22RIK","Astrocyte_Cahoy_all"
"SEMA4B","Astrocyte_Cahoy_all"
"LPP","Astrocyte_Cahoy_all"
"CML4","Astrocyte_Cahoy_all"
"SLCO1C1","Astrocyte_Cahoy_all"
"MDFIC","Astrocyte_Cahoy_all"
"GULP1","Astrocyte_Cahoy_all"
"KIAA1324L","Astrocyte_Cahoy_all"
"AI449310","Astrocyte_Cahoy_all"
"FGD6","Astrocyte_Cahoy_all"
"DDO","Astrocyte_Cahoy_all"
"PAQR8","Astrocyte_Cahoy_all"
"TGFB2","Astrocyte_Cahoy_all"
"BCL2","Astrocyte_Cahoy_all"
"RDH5","Astrocyte_Cahoy_all"
"PRDX6","Astrocyte_Cahoy_all"
"CHI3L1","Astrocyte_Cahoy_all"
"PDE4B","Astrocyte_Cahoy_all"
"AKT2","Astrocyte_Cahoy_all"
"GPR56","Astrocyte_Cahoy_all"
"WNT7A","Astrocyte_Cahoy_all"
"SUCLG2","Astrocyte_Cahoy_all"
"NP","Astrocyte_Cahoy_all"
"BC064078","Astrocyte_Cahoy_all"
"ABCA1","Astrocyte_Cahoy_all"
"EYA4","Astrocyte_Cahoy_all"
"PHKA1","Astrocyte_Cahoy_all"
"EDNRB","Astrocyte_Cahoy_all"
"CCND2","Astrocyte_Cahoy_all"
"CA5B","Astrocyte_Cahoy_all"
"A2M","Astrocyte_Cahoy_all"
"IL11RA","Astrocyte_Cahoy_all"
"DNAI1","Astrocyte_Cahoy_all"
"CELSR1","Astrocyte_Cahoy_all"
"DDIT4L","Astrocyte_Cahoy_all"
"PTGER4","Astrocyte_Cahoy_all"
"RNF180","Astrocyte_Cahoy_all"
"IL17RD","Astrocyte_Cahoy_all"
"2310016C16RIK","Astrocyte_Cahoy_all"
"2610024B07RIK","Astrocyte_Cahoy_all"
"IGFBP5","Astrocyte_Cahoy_all"
"C20orf58","Astrocyte_Cahoy_all"
"PRKCDBP","Astrocyte_Cahoy_all"
"PACRG","Astrocyte_Cahoy_all"
"DCAMKL1","Astrocyte_Cahoy_all"
"CYP2J9","Astrocyte_Cahoy_all"
"APPL2","Astrocyte_Cahoy_all"
"GAS1","Astrocyte_Cahoy_all"
"ANGPTL4","Astrocyte_Cahoy_all"
"PYGM","Astrocyte_Cahoy_all"
"OLFML1","Astrocyte_Cahoy_all"
"SREBF1","Astrocyte_Cahoy_all"
"SAT","Astrocyte_Cahoy_all"
"COL4A5","Astrocyte_Cahoy_all"
"A130022J15RIK","Astrocyte_Cahoy_all"
"GPC5","Astrocyte_Cahoy_all"
"HEPACAM","Astrocyte_Cahoy_all"
"DMT2","Astrocyte_Cahoy_all"
"NUF2","Astrocyte_Cahoy_all"
"NQO1","Astrocyte_Cahoy_all"
"HEY2","Astrocyte_Cahoy_all"
"PALLD","Astrocyte_Cahoy_all"
"TSPAN7","Astrocyte_Cahoy_all"
"BMPR1A","Astrocyte_Cahoy_all"
"IRAK2","Astrocyte_Cahoy_all"
"LOC552874","Astrocyte_Cahoy_all"
"ASAHL","Astrocyte_Cahoy_all"
"SPAG5","Astrocyte_Cahoy_all"
"MTMR11","Astrocyte_Cahoy_all"
"MT3","Astrocyte_Cahoy_all"
"ID2","Astrocyte_Cahoy_all"
"TFAP2C","Astrocyte_Cahoy_all"
"C8orf13","Astrocyte_Cahoy_all"
"ATP13A4","Astrocyte_Cahoy_all"
"PAQR7","Astrocyte_Cahoy_all"
"GSTA4","Astrocyte_Cahoy_all"
"GK","Astrocyte_Cahoy_all"
"C77713","Astrocyte_Cahoy_all"
"SLC36A2","Astrocyte_Cahoy_all"
"HES1","Astrocyte_Cahoy_all"
"PXMP2","Astrocyte_Cahoy_all"
"ELF5","Astrocyte_Cahoy_all"
"CDC42EP4","Astrocyte_Cahoy_all"
"VAV3","Astrocyte_Cahoy_all"
"1110054M08RIK","Astrocyte_Cahoy_all"
"LAMB2","Astrocyte_Cahoy_all"
"BMPER","Astrocyte_Cahoy_all"
"LGR4","Astrocyte_Cahoy_all"
"PNPLA7","Astrocyte_Cahoy_all"
"FZD1","Astrocyte_Cahoy_all"
"ARRDC3","Astrocyte_Cahoy_all"
"TIMP3","Astrocyte_Cahoy_all"
"CA8","Astrocyte_Cahoy_all"
"MT1A","Astrocyte_Cahoy_all"
"2900078C09RIK","Astrocyte_Cahoy_all"
"2310068J10RIK","Astrocyte_Cahoy_all"
"RFTN2","Astrocyte_Cahoy_all"
"BB176347","Astrocyte_Cahoy_all"
"NOTCH3","Astrocyte_Cahoy_all"
"2810455D13RIK","Astrocyte_Cahoy_all"
"ID1","Astrocyte_Cahoy_all"
"MEGF10","Astrocyte_Cahoy_all"
"CHD9","Astrocyte_Cahoy_all"
"LOC669660","Astrocyte_Cahoy_all"
"HCP1","Astrocyte_Cahoy_all"
"TPBG","Astrocyte_Cahoy_all"
"CIDEB","Astrocyte_Cahoy_all"
"2610017I09RIK","Astrocyte_Cahoy_all"
"DHTKD1","Astrocyte_Cahoy_all"
"FABP7","Astrocyte_Cahoy_all"
"WRNIP1","Astrocyte_Cahoy_all"
"CDC14A","Astrocyte_Cahoy_all"
"5930412G12RIK","Astrocyte_Cahoy_all"
"AASS","Astrocyte_Cahoy_all"
"MRAS","Astrocyte_Cahoy_all"
"LOC624168","Astrocyte_Cahoy_all"
"PPAP2B","Astrocyte_Cahoy_all"
"DMD","Astrocyte_Cahoy_all"
"VNN1","Astrocyte_Cahoy_all"
"GLYCAM1","Astrocyte_Cahoy_all"
"E030031F02RIK","Astrocyte_Cahoy_all"
"ADK","Astrocyte_Cahoy_all"
"VEGF","Astrocyte_Cahoy_all"
"SLC41A1","Astrocyte_Cahoy_all"
"GNA13","Astrocyte_Cahoy_all"
"RETSAT","Astrocyte_Cahoy_all"
"LOC389895","Astrocyte_Cahoy_all"
"DKK3","Astrocyte_Cahoy_all"
"E230025E14RIK","Astrocyte_Cahoy_all"
"B930007P11RIK","Astrocyte_Cahoy_all"
"PPARA","Astrocyte_Cahoy_all"
"TIFA","Astrocyte_Cahoy_all"
"NFKBIZ","Astrocyte_Cahoy_all"
"DKFZP586H2123","Astrocyte_Cahoy_all"
"ACADL","Astrocyte_Cahoy_all"
"MAPKAPK3","Astrocyte_Cahoy_all"
"6330418B08RIK","Astrocyte_Cahoy_all"
"TOM1L1","Astrocyte_Cahoy_all"
"NEDD9","Astrocyte_Cahoy_all"
"C1orf85","Astrocyte_Cahoy_all"
"LTB4DH","Astrocyte_Cahoy_all"
"PON2","Astrocyte_Cahoy_all"
"SORBS1","Astrocyte_Cahoy_all"
"RASA2","Astrocyte_Cahoy_all"
"DTNA","Astrocyte_Cahoy_all"
"SPIRE1","Astrocyte_Cahoy_all"
"MYO10","Astrocyte_Cahoy_all"
"DAAM2","Astrocyte_Cahoy_all"
"GPAM","Astrocyte_Cahoy_all"
"PROCA1","Astrocyte_Cahoy_all"
"MASP1","Astrocyte_Cahoy_all"
"ITSN1","Astrocyte_Cahoy_all"
"IDS","Astrocyte_Cahoy_all"
"SDSL","Astrocyte_Cahoy_all"
"ALDH7A1","Astrocyte_Cahoy_all"
